Individual	Children_u16	Car_travel_time	PT_travel_time	Chosen_alternative
1	1	28	48	0
2	1	48	64	0
3	0	36	70	1
4	1	15	72	1
5	0	14	36	0
6	0	43	49	1
7	0	53	17	0
8	0	23	36	0
9	1	23	18	0
10	1	15	41	0
11	0	12	17	0
12	1	25	15	0
13	1	41	23	0
14	1	25	11	0
15	0	24	49	0
16	0	13	67	1
17	0	17	55	1
18	0	16	36	1
19	0	26	59	0
20	1	11	56	1
21	0	28	68	1
22	1	47	87	1
23	0	72	42	0
24	1	59	61	0
25	1	15	13	0
26	0	61	98	1
27	0	51	56	0
28	1	39	21	0
29	1	76	20	0
30	1	29	68	1
31	0	48	96	1
32	0	55	22	0
33	0	19	95	1
34	1	56	76	1
35	0	18	62	1
36	1	12	22	0
37	1	57	57	0
38	0	76	78	0
39	0	25	26	0
40	0	56	29	0
41	0	70	67	0
42	0	41	67	1
43	0	59	81	0
44	0	47	61	0
45	1	48	73	1
46	0	49	99	1
47	0	61	39	0
48	1	38	13	0
49	1	70	15	0
50	1	29	98	1
51	0	59	12	0
52	1	61	31	0
53	0	52	35	0
54	0	20	10	1
55	1	32	42	1
56	1	64	57	0
57	0	73	65	0
58	1	45	55	1
59	1	50	25	0
60	1	32	45	0
61	1	11	29	1
62	0	65	18	0
63	0	77	10	0
64	1	49	82	1
65	1	75	23	0
66	1	57	79	0
67	1	47	54	1
68	0	48	70	1
69	1	37	54	1
70	1	77	83	0
71	1	44	37	0
72	0	37	90	1
73	1	13	85	1
74	1	61	85	0
75	0	77	81	0
76	0	23	25	0
77	0	58	78	1
78	1	37	94	1
79	0	26	82	1
80	0	61	54	0
81	1	36	12	0
82	1	43	94	1
83	0	19	74	1
84	0	58	70	0
85	1	62	71	0
86	1	49	100	1
87	1	38	54	0
88	0	29	91	1
89	1	43	41	0
90	0	43	95	1
91	0	33	61	1
92	1	50	79	1
93	1	73	56	0
94	1	10	39	1
95	0	16	63	1
96	0	27	30	0
97	1	21	62	1
98	1	43	47	0
99	1	48	79	1
100	1	62	50	0
101	0	23	36	0
102	1	23	18	0
103	1	15	41	0
104	0	12	17	0
105	1	25	15	0
106	1	41	23	0
107	1	25	11	0
108	0	24	49	0
109	0	13	67	1
110	0	17	55	1
111	0	16	36	1
112	0	26	59	0
113	1	11	56	1
114	0	28	68	1
115	1	47	87	1
116	0	72	42	0
117	1	59	61	0
118	1	15	13	0
119	0	61	98	1
120	0	51	56	0
121	0	77	81	0
122	0	23	25	0
123	0	58	78	1
124	1	37	94	1
125	0	26	82	1
126	0	61	54	0
127	1	36	12	0
128	1	43	94	1
129	0	19	74	1
130	0	58	70	0
131	1	62	71	0
132	1	49	100	1
133	1	38	54	0
