ID	bus_IVT	bus_TA	bus_WT	bus_Cost	BS_TT	BS_Cost	car_TT	car_PT	car_Cost	car_PCost	Choice
1	20	10	15	6	50	1.5	45	2	4	5	1
2	30	5	10	4	60	3.5	35	2	4	5	3
3	20	5	10	4	40	1.5	15	8	4	5	1
4	30	5	10	6	50	1.5	45	2	2	5	1
5	40	10	10	6	40	1.5	35	2	2	5	2
6	50	10	10	6	60	3.5	35	5	2	5	3
7	30	10	15	6	60	1.5	35	2	4	3	3
8	40	5	10	4	60	3.5	15	2	4	5	3
9	20	10	15	4	40	3.5	15	2	4	3	3
10	40	10	10	4	50	1.5	35	2	2	5	3
11	20	10	15	6	60	3.5	35	5	2	5	1
12	20	10	15	6	50	3.5	15	8	4	5	3
13	50	10	10	6	40	1.5	15	5	4	3	3
14	30	10	10	4	40	3.5	35	5	4	3	3
15	20	10	15	4	50	1.5	45	2	4	5	1
16	30	5	10	6	50	3.5	35	5	4	3	1
17	40	10	10	6	60	1.5	25	8	2	5	3
18	20	10	10	4	50	3.5	35	8	4	3	1
19	20	5	15	4	40	1.5	45	8	2	3	1
20	30	5	10	6	40	1.5	35	8	4	5	2
21	50	5	15	4	60	1.5	15	5	4	5	3
22	40	5	10	4	50	1.5	15	8	4	3	3
23	20	10	10	4	50	1.5	15	2	4	5	3
24	20	5	10	4	60	1.5	35	5	4	5	1
25	50	10	10	6	50	3.5	35	8	2	5	3
26	30	5	10	4	40	1.5	45	8	4	3	2
27	50	10	15	4	40	3.5	45	5	4	5	2
28	40	5	15	6	50	3.5	45	8	2	3	3
29	30	10	10	4	40	1.5	35	5	4	3	3
30	40	10	15	6	40	3.5	45	2	4	5	2
31	30	5	15	4	50	3.5	45	5	4	3	1
32	20	5	10	4	60	3.5	15	2	2	5	3
33	20	5	10	6	40	1.5	15	5	2	3	3
34	50	10	10	6	60	3.5	15	5	4	3	3
35	50	10	10	6	40	1.5	35	5	4	3	2
36	50	5	10	6	50	3.5	25	8	2	3	3
37	50	10	15	6	50	3.5	25	8	2	5	3
38	50	5	10	4	50	3.5	45	5	4	5	2
39	30	5	10	4	50	1.5	45	5	4	3	1
40	40	10	15	6	60	1.5	25	2	2	3	3
41	40	10	10	4	60	1.5	15	8	4	5	3
42	50	5	15	4	60	1.5	45	8	4	3	3
43	50	5	15	4	40	3.5	35	8	2	5	2
44	40	10	15	6	50	1.5	15	2	2	3	3
45	50	5	15	4	50	1.5	35	5	4	3	3
46	50	10	15	4	40	1.5	35	2	2	5	2
47	20	5	10	4	50	3.5	15	5	4	5	3
48	30	10	10	6	50	3.5	25	2	4	5	3
49	20	5	10	4	40	3.5	15	5	4	5	1
50	20	10	15	6	60	1.5	45	2	2	5	1
51	20	5	15	6	60	1.5	25	2	2	3	3
52	30	10	15	6	50	1.5	25	5	2	5	3
53	50	10	10	6	60	3.5	25	8	4	5	3
54	50	10	10	4	40	1.5	45	5	2	3	2
55	40	10	10	6	60	1.5	25	2	4	3	3
56	40	10	10	4	60	1.5	35	8	4	3	3
57	40	10	10	4	40	3.5	15	5	4	3	3
58	50	5	15	4	40	1.5	35	2	4	5	2
